Date;Investor;Type;Trans;Volume;TurnOver
18/05/2011;Foreigners;institutions;Sell;16873257;182191349
18/05/2011;Arabs;Retail;Buy;3135971;19640570
18/05/2011;Arabs;Retail;Sell;1391258;9559465
18/05/2011;Arabs;institutions;Buy;9615745;36008790
18/05/2011;Arabs;institutions;Sell;2411443;24039554
18/05/2011;Egyptians;Retail;Buy;90075466;325654490
18/05/2011;Egyptians;Retail;Sell;96626218;343750477
18/05/2011;Egyptians;institutions;Buy;5116735;40338894
18/05/2011;Egyptians;institutions;Sell;6988096;50969527
19/05/2011;Foreigners;Retail;Buy;588866;2424208
19/05/2011;Foreigners;Retail;Sell;1008426;7596163
19/05/2011;Foreigners;institutions;Buy;6251118;59551742
19/05/2011;Foreigners;institutions;Sell;8761781;89603460
19/05/2011;Arabs;Retail;Buy;2167939;16574405
19/05/2011;Arabs;Retail;Sell;1150057;10013509
19/05/2011;Arabs;institutions;Buy;8415286;39368900
19/05/2011;Arabs;institutions;Sell;2199612;12163828
19/05/2011;Egyptians;Retail;Buy;85971417;344337721
19/05/2011;Egyptians;Retail;Sell;95026370;376479067
19/05/2011;Egyptians;institutions;Buy;9863619;74325320
19/05/2011;Egyptians;institutions;Sell;5111999;40726270
22/05/2011;Foreigners;Retail;Buy;398686;1739807
22/05/2011;Foreigners;Retail;Sell;1653248;3481494
22/05/2011;Foreigners;institutions;Buy;6375010;76833103
22/05/2011;Foreigners;institutions;Sell;8400432;52637314
22/05/2011;Arabs;Retail;Buy;6245335;17220661
22/05/2011;Arabs;Retail;Sell;4063427;21344693
22/05/2011;Arabs;institutions;Buy;5925855;49422921
22/05/2011;Arabs;institutions;Sell;3642503;26053702
22/05/2011;Egyptians;Retail;Buy;100165969;354367681
22/05/2011;Egyptians;Retail;Sell;106975756;416179228
22/05/2011;Egyptians;institutions;Buy;12538914;72930830
22/05/2011;Egyptians;institutions;Sell;6914403;52818572
23/05/2011;Foreigners;Retail;Buy;444049;1565951
23/05/2011;Foreigners;Retail;Sell;1531620;2666345
23/05/2011;Foreigners;institutions;Buy;10500846;166639797
23/05/2011;Foreigners;institutions;Sell;16906973;203062672
23/05/2011;Arabs;Retail;Buy;1661721;14642031
23/05/2011;Arabs;Retail;Sell;1860669;12303066
23/05/2011;Arabs;institutions;Buy;4437913;25883870
23/05/2011;Arabs;institutions;Sell;4793466;36090097
23/05/2011;Egyptians;Retail;Buy;89714084;380895179
23/05/2011;Egyptians;Retail;Sell;84493061;353235730
23/05/2011;Egyptians;institutions;Buy;8975550;61557796
23/05/2011;Egyptians;institutions;Sell;6148374;43826716
24/05/2011;Foreigners;Retail;Buy;397120;1465117
24/05/2011;Foreigners;Retail;Sell;628772;1453405
24/05/2011;Foreigners;institutions;Buy;9244120;152637461
24/05/2011;Foreigners;institutions;Sell;12545386;157604718
24/05/2011;Arabs;Retail;Buy;3130229;11974487
24/05/2011;Arabs;Retail;Sell;1533025;12701983
24/05/2011;Arabs;institutions;Buy;1083123;16699514
24/05/2011;Arabs;institutions;Sell;3584639;21522817
24/05/2011;Egyptians;Retail;Buy;72178138;306466637
24/05/2011;Egyptians;Retail;Sell;70682412;304688279
24/05/2011;Egyptians;institutions;Buy;5385161;32958623
24/05/2011;Egyptians;institutions;Sell;2443657;24230637
25/05/2011;Foreigners;Retail;Buy;1526511;2583003
25/05/2011;Foreigners;Retail;Sell;430591;1255680
25/05/2011;Foreigners;institutions;Buy;18446037;286107949
25/05/2011;Foreigners;institutions;Sell;11545323;227140748
25/05/2011;Arabs;Retail;Buy;1199027;8324720
25/05/2011;Arabs;Retail;Sell;1077076;9991763
25/05/2011;Arabs;institutions;Buy;2784539;42043189
25/05/2011;Arabs;institutions;Sell;3161239;38835659
25/05/2011;Egyptians;Retail;Buy;49965253;235425873
25/05/2011;Egyptians;Retail;Sell;59747629;301756801
25/05/2011;Egyptians;institutions;Buy;5855645;48945396
25/05/2011;Egyptians;institutions;Sell;3815154;44449479
26/05/2011;Foreigners;Retail;Buy;223433;1188988
26/05/2011;Foreigners;Retail;Sell;1130698;4614669
26/05/2011;Foreigners;institutions;Buy;15266304;208315616
26/05/2011;Foreigners;institutions;Sell;12189958;212956422
26/05/2011;Arabs;Retail;Buy;2917732;19610041
26/05/2011;Arabs;Retail;Sell;2404542;36117710
26/05/2011;Arabs;institutions;Buy;7965040;97335157
26/05/2011;Arabs;institutions;Sell;3174785;42582760
26/05/2011;Egyptians;Retail;Buy;59735069;267368244
26/05/2011;Egyptians;Retail;Sell;64592291;290572050
26/05/2011;Egyptians;institutions;Buy;4870843;49017361
26/05/2011;Egyptians;institutions;Sell;7486147;55991796
29/05/2011;Foreigners;Retail;Buy;1479317;3445052
29/05/2011;Foreigners;Retail;Sell;1488788;3742187
29/05/2011;Foreigners;institutions;Buy;16586160;193662346
29/05/2011;Foreigners;institutions;Sell;7956155;97610629
29/05/2011;Arabs;Retail;Buy;12605887;57856777
29/05/2011;Arabs;Retail;Sell;15237511;68438303
29/05/2011;Arabs;institutions;Buy;3947198;27230425
29/05/2011;Arabs;institutions;Sell;4941481;43224353
29/05/2011;Egyptians;Retail;Buy;110096587;395155334
29/05/2011;Egyptians;Retail;Sell;110735655;431106070
29/05/2011;Egyptians;institutions;Buy;6944981;49945966
29/05/2011;Egyptians;institutions;Sell;11300540;83174358
30/05/2011;Foreigners;Retail;Buy;868090;2880888
30/05/2011;Foreigners;Retail;Sell;340431;1248371
30/05/2011;Foreigners;institutions;Buy;6219064;96658343
30/05/2011;Foreigners;institutions;Sell;14080371;109700925
30/05/2011;Arabs;Retail;Buy;3432915;18815877
30/05/2011;Arabs;Retail;Sell;2224595;19916186
30/05/2011;Arabs;institutions;Buy;7683412;75200869
30/05/2011;Arabs;institutions;Sell;3520905;29632187
30/05/2011;Egyptians;Retail;Buy;89268813;339569134
30/05/2011;Egyptians;Retail;Sell;88538320;353292213
30/05/2011;Egyptians;institutions;Buy;5553992;41732862
30/05/2011;Egyptians;institutions;Sell;4321664;61068091
31/05/2011;Foreigners;Retail;Buy;904481;3547549
31/05/2011;Foreigners;Retail;Sell;531069;1638066
31/05/2011;Foreigners;institutions;Buy;22522629;299742937
31/05/2011;Foreigners;institutions;Sell;40096593;465785168
31/05/2011;Arabs;Retail;Buy;3513384;23385004
31/05/2011;Arabs;Retail;Sell;2853601;20379668
31/05/2011;Arabs;institutions;Buy;3537945;30644604
31/05/2011;Arabs;institutions;Sell;7519000;45514420
31/05/2011;Egyptians;Retail;Buy;105087925;457898238
31/05/2011;Egyptians;Retail;Sell;92567202;331682060
31/05/2011;Egyptians;institutions;Buy;11077471;75365233
31/05/2011;Egyptians;institutions;Sell;3076370;25584185
06/01/2011;Foreigners;Retail;Buy;617138;1566211
06/01/2011;Foreigners;Retail;Sell;373536;1738009
06/01/2011;Foreigners;institutions;Buy;6722041;122096280
06/01/2011;Foreigners;institutions;Sell;9610274;179098375
06/01/2011;Arabs;Retail;Buy;5217575;36593424
06/01/2011;Arabs;Retail;Sell;2038629;7898602
06/01/2011;Arabs;institutions;Buy;1489563;9583436
06/01/2011;Arabs;institutions;Sell;4647241;17617804
06/01/2011;Egyptians;Retail;Buy;81170698;345764154
06/01/2011;Egyptians;Retail;Sell;79430958;323435371
06/01/2011;Egyptians;institutions;Buy;7963464;52999457
06/01/2011;Egyptians;institutions;Sell;7079841;38814801
06/02/2011;Foreigners;Retail;Buy;762502;3518898
06/02/2011;Foreigners;Retail;Sell;520111;1795690
06/02/2011;Foreigners;institutions;Buy;12812688;146622674
06/02/2011;Foreigners;institutions;Sell;15482200;217633780
06/02/2011;Arabs;Retail;Buy;2308466;21277071
06/02/2011;Arabs;Retail;Sell;2630387;15624684
06/02/2011;Arabs;institutions;Buy;2637939;37286499
06/02/2011;Arabs;institutions;Sell;3724642;35537786
